[Metrics] FPS: 1724.740723 | Visible chunks: 19 | Visible polys: 5010 | GPU: 0.065440ms | CPU: 6.247001% | RAM: 104MB
[Metrics] FPS: 1693.399414 | Visible chunks: 16 | Visible polys: 9350 | GPU: 0.068480ms | CPU: 6.499551% | RAM: 104MB
[Metrics] FPS: 1783.959595 | Visible chunks: 16 | Visible polys: 9350 | GPU: 0.068512ms | CPU: 6.513449% | RAM: 104MB
[Metrics] FPS: 1344.806152 | Visible chunks: 17 | Visible polys: 9374 | GPU: 0.067776ms | CPU: 6.240032% | RAM: 104MB
[Metrics] FPS: 1778.304443 | Visible chunks: 19 | Visible polys: 5010 | GPU: 0.061472ms | CPU: 9.372529% | RAM: 105MB
[Metrics] FPS: 1749.503662 | Visible chunks: 19 | Visible polys: 5164 | GPU: 0.060320ms | CPU: 3.907411% | RAM: 105MB
[Metrics] FPS: 1956.579834 | Visible chunks: 19 | Visible polys: 5164 | GPU: 0.066336ms | CPU: 6.504527% | RAM: 105MB
[Metrics] FPS: 1747.649170 | Visible chunks: 19 | Visible polys: 5164 | GPU: 0.063328ms | CPU: 6.506006% | RAM: 105MB
[Metrics] FPS: 1595.294189 | Visible chunks: 19 | Visible polys: 5164 | GPU: 0.063424ms | CPU: 6.250263% | RAM: 105MB
[Metrics] FPS: 1699.782227 | Visible chunks: 19 | Visible polys: 5164 | GPU: 0.063232ms | CPU: 5.978152% | RAM: 105MB
[Metrics] FPS: 1870.086304 | Visible chunks: 19 | Visible polys: 5164 | GPU: 0.062656ms | CPU: 6.249853% | RAM: 105MB
[Metrics] FPS: 1717.958618 | Visible chunks: 19 | Visible polys: 5164 | GPU: 0.063392ms | CPU: 7.552704% | RAM: 105MB
[Metrics] FPS: 1705.588379 | Visible chunks: 19 | Visible polys: 5164 | GPU: 0.063424ms | CPU: 7.291907% | RAM: 105MB
[Metrics] FPS: 1854.886841 | Visible chunks: 19 | Visible polys: 5164 | GPU: 0.062688ms | CPU: 5.985752% | RAM: 105MB
[Metrics] FPS: 1821.494751 | Visible chunks: 19 | Visible polys: 5164 | GPU: 0.062752ms | CPU: 6.510382% | RAM: 105MB
[Metrics] FPS: 1763.249756 | Visible chunks: 19 | Visible polys: 5164 | GPU: 0.061472ms | CPU: 6.239868% | RAM: 105MB
[Metrics] FPS: 1608.674438 | Visible chunks: 19 | Visible polys: 5164 | GPU: 0.061312ms | CPU: 5.972473% | RAM: 105MB
[Metrics] FPS: 1887.121338 | Visible chunks: 19 | Visible polys: 5164 | GPU: 0.061376ms | CPU: 7.810644% | RAM: 105MB
[Metrics] FPS: 1749.603638 | Visible chunks: 19 | Visible polys: 5164 | GPU: 0.061120ms | CPU: 7.030920% | RAM: 105MB
[Metrics] FPS: 1827.984741 | Visible chunks: 19 | Visible polys: 5164 | GPU: 0.062176ms | CPU: 6.492269% | RAM: 105MB
[Metrics] FPS: 1770.244873 | Visible chunks: 19 | Visible polys: 5164 | GPU: 0.062080ms | CPU: 5.474949% | RAM: 105MB
[Metrics] FPS: 1941.355835 | Visible chunks: 19 | Visible polys: 5164 | GPU: 0.062304ms | CPU: 6.772407% | RAM: 105MB
[Metrics] FPS: 1809.138672 | Visible chunks: 19 | Visible polys: 5164 | GPU: 0.056192ms | CPU: 5.985628% | RAM: 105MB
[Metrics] FPS: 1557.671631 | Visible chunks: 19 | Visible polys: 5164 | GPU: 0.054496ms | CPU: 7.271060% | RAM: 105MB
[Metrics] FPS: 1573.205566 | Visible chunks: 19 | Visible polys: 5164 | GPU: 0.053856ms | CPU: 6.148951% | RAM: 105MB
[Metrics] FPS: 1814.127563 | Visible chunks: 19 | Visible polys: 5164 | GPU: 0.054432ms | CPU: 7.034986% | RAM: 105MB
[Metrics] FPS: 1922.825684 | Visible chunks: 19 | Visible polys: 5164 | GPU: 0.057664ms | CPU: 7.282783% | RAM: 105MB
[Metrics] FPS: 1679.964233 | Visible chunks: 19 | Visible polys: 5164 | GPU: 0.059328ms | CPU: 7.020439% | RAM: 105MB
[Metrics] FPS: 1876.555176 | Visible chunks: 19 | Visible polys: 5164 | GPU: 0.060064ms | CPU: 5.206052% | RAM: 105MB
[Metrics] FPS: 1504.525024 | Visible chunks: 20 | Visible polys: 5176 | GPU: 0.061184ms | CPU: 7.708619% | RAM: 105MB
[Metrics] FPS: 1588.927368 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.058592ms | CPU: 3.412555% | RAM: 105MB
[Metrics] FPS: 1732.706299 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.058400ms | CPU: 5.988889% | RAM: 105MB
[Metrics] FPS: 1767.708252 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.058656ms | CPU: 6.499112% | RAM: 105MB
[Metrics] FPS: 1761.108032 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.061568ms | CPU: 7.293493% | RAM: 105MB
[Metrics] FPS: 1786.041016 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.062624ms | CPU: 5.725907% | RAM: 105MB
[Metrics] FPS: 1618.403076 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.062400ms | CPU: 5.992303% | RAM: 105MB
[Metrics] FPS: 1815.152832 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.062848ms | CPU: 6.768083% | RAM: 105MB
[Metrics] FPS: 1841.359009 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.062176ms | CPU: 7.556850% | RAM: 105MB
[Metrics] FPS: 1977.169800 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.061600ms | CPU: 7.016802% | RAM: 105MB
[Metrics] FPS: 1398.835815 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.060928ms | CPU: 6.921800% | RAM: 105MB
[Metrics] FPS: 1684.671875 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.060032ms | CPU: 6.261277% | RAM: 105MB
[Metrics] FPS: 1790.927612 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.058976ms | CPU: 7.535068% | RAM: 105MB
[Metrics] FPS: 1863.562134 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.058272ms | CPU: 7.552219% | RAM: 105MB
[Metrics] FPS: 1926.466675 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.058336ms | CPU: 6.250561% | RAM: 105MB
[Metrics] FPS: 1763.653564 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.058624ms | CPU: 7.799135% | RAM: 105MB
[Metrics] FPS: 1777.913086 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.059232ms | CPU: 7.553271% | RAM: 105MB
[Metrics] FPS: 1699.387817 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.059840ms | CPU: 7.550134% | RAM: 105MB
[Metrics] FPS: 1709.062744 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.060768ms | CPU: 6.252335% | RAM: 105MB
[Metrics] FPS: 1751.793823 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.060736ms | CPU: 7.811302% | RAM: 105MB
[Metrics] FPS: 1821.864014 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.061344ms | CPU: 6.248863% | RAM: 105MB
[Metrics] FPS: 1895.128174 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.061952ms | CPU: 7.284104% | RAM: 105MB
[Metrics] FPS: 1891.032349 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.063136ms | CPU: 6.247145% | RAM: 105MB
[Metrics] FPS: 1772.508057 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.062080ms | CPU: 6.764623% | RAM: 105MB
[Metrics] FPS: 1779.792358 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.062080ms | CPU: 5.464196% | RAM: 105MB
[Metrics] FPS: 726.772888 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.061184ms | CPU: 3.985652% | RAM: 105MB
[Metrics] FPS: 1825.075684 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.060640ms | CPU: 6.602901% | RAM: 105MB
[Metrics] FPS: 1930.321411 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.061472ms | CPU: 7.010671% | RAM: 105MB
[Metrics] FPS: 1809.804932 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.062752ms | CPU: 7.547847% | RAM: 105MB
[Metrics] FPS: 1887.672363 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.062176ms | CPU: 7.017674% | RAM: 105MB
[Metrics] FPS: 1964.474976 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.063008ms | CPU: 6.249610% | RAM: 105MB
[Metrics] FPS: 1645.853882 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.063296ms | CPU: 6.769176% | RAM: 105MB
[Metrics] FPS: 1865.375000 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.063328ms | CPU: 6.246210% | RAM: 105MB
[Metrics] FPS: 1644.397583 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.058112ms | CPU: 6.766670% | RAM: 105MB
[Metrics] FPS: 1745.065063 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.057696ms | CPU: 6.452865% | RAM: 105MB
[Metrics] FPS: 1711.685547 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.058496ms | CPU: 6.550599% | RAM: 105MB
[Metrics] FPS: 1892.464355 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.055744ms | CPU: 6.779131% | RAM: 105MB
[Metrics] FPS: 1902.440430 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.054784ms | CPU: 7.529998% | RAM: 105MB
[Metrics] FPS: 1917.829956 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.054848ms | CPU: 8.062748% | RAM: 105MB
[Metrics] FPS: 1839.926270 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.054784ms | CPU: 6.765575% | RAM: 105MB
[Metrics] FPS: 1710.538452 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.059168ms | CPU: 6.770586% | RAM: 105MB
[Metrics] FPS: 1791.754028 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.059104ms | CPU: 6.237831% | RAM: 105MB
[Metrics] FPS: 1875.949097 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.059424ms | CPU: 6.761975% | RAM: 105MB
[Metrics] FPS: 1504.685059 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.059168ms | CPU: 6.493561% | RAM: 104MB
[Metrics] FPS: 1849.988403 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.062336ms | CPU: 7.555727% | RAM: 104MB
[Metrics] FPS: 1832.474243 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.066496ms | CPU: 6.770525% | RAM: 104MB
[Metrics] FPS: 1563.642944 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.062560ms | CPU: 6.764550% | RAM: 104MB
[Metrics] FPS: 1870.603027 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.062144ms | CPU: 6.241268% | RAM: 104MB
[Metrics] FPS: 1877.346191 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.058784ms | CPU: 6.237425% | RAM: 104MB
[Metrics] FPS: 1260.890015 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.057600ms | CPU: 5.468676% | RAM: 104MB
[Metrics] FPS: 1681.893311 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.056256ms | CPU: 5.737773% | RAM: 104MB
[Metrics] FPS: 1929.696533 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.057920ms | CPU: 6.236850% | RAM: 104MB
[Metrics] FPS: 1894.603760 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.060928ms | CPU: 6.250529% | RAM: 104MB
[Metrics] FPS: 1817.704956 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.061632ms | CPU: 7.022151% | RAM: 104MB
[Metrics] FPS: 1894.102783 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.061760ms | CPU: 5.989606% | RAM: 104MB
[Metrics] FPS: 1765.386841 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.061536ms | CPU: 5.729088% | RAM: 104MB
[Metrics] FPS: 1916.259277 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.061408ms | CPU: 7.812917% | RAM: 104MB
[Metrics] FPS: 1951.412476 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.062016ms | CPU: 7.291428% | RAM: 104MB
[Metrics] FPS: 1922.318115 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.056000ms | CPU: 6.766403% | RAM: 104MB
[Metrics] FPS: 1845.203369 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.055904ms | CPU: 6.509577% | RAM: 104MB
[Metrics] FPS: 1985.757690 | Visible chunks: 20 | Visible polys: 3370 | GPU: 0.056096ms | CPU: 7.538812% | RAM: 104MB
