"scenario","phase","repeat","source_hash","build_id","content_hash","shader_hash","timed_frames","actual_duration_ms","measured_frames_per_second","wall_median_ms","wall_p95_ms","wall_p99_ms","gpu_median_ms","gpu_p95_ms","gpu_p99_ms","wait_median_ms","view_median_ms","gather_median_ms","plan_median_ms","upload_median_ms","raw_instances","visible_min","visible_max","lights_min","lights_max","draws_median","dispatches_median","shadow_faces_median","shadow_cache_hits_median","batches_median","asset_upload_max_bytes","dynamic_upload_median_bytes","private_peak_bytes","working_set_peak_bytes","vma_peak_bytes","vma_budget_peak_bytes"
"moving-lights-32","candidate","2","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","f0370a25be53b7f8d09fc1019c57117f9c661d69737f725d60ab293b9c2ccc65","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","142","5013,073","28,325938999890884","31,9995","59,4862","84,07985","31,169217989","57,7062199453","82,6517938155","30,359","0,022","0,06","0,9515","0,012","40","40","40","33","33","344,5","2","192","1","2","0","24052","422526976","365113344","135409664","38823561584"
"moving-lights-32","candidate","3","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","f0370a25be53b7f8d09fc1019c57117f9c661d69737f725d60ab293b9c2ccc65","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","122","5127,094","23,795155696384736","33,9745","92,00285","132,93444","34,2061970816","94,1114898899","132,068558234","32,3365","0,022","0,072","0,938","0,012","40","40","40","33","33","345","2","192","1","2","0","24046","422752256","365228032","135409664","38823561584"
"moving-casters","candidate","1","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","8679d6885185a6a3c9d0d3077540fa3978ee46647d1e45a17fd2cc4d9c36bb79","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","266","5002,595","53,172403522571784","14,383","43,4705","75,02155","12,4660934457","42,3221474042","74,4191856831","13,6235","0,019","0,0405","0,2165","0,011","40","40","40","5","5","64","1","27","0","1","0","8588","286814208","230248448","75982016","38823561584"
"moving-casters","candidate","2","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","8679d6885185a6a3c9d0d3077540fa3978ee46647d1e45a17fd2cc4d9c36bb79","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","504","5007,782","100,6433586765558","6,931","26,887","34,21982","5,97523422912","26,397663418","32,9851174239","6,3275","0,019","0,0385","0,183","0,01","40","40","40","5","5","64","1","27","0","1","0","8588","286867456","231976960","75982016","38823561584"
"moving-casters","candidate","3","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","8679d6885185a6a3c9d0d3077540fa3978ee46647d1e45a17fd2cc4d9c36bb79","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","579","5005,258","115,6783526443592","6,707","18,5646","35,26886","5,84958319052","17,6223172781","34,090329376","6,126","0,018","0,04","0,185","0,009","40","40","40","5","5","64","1","27","0","1","0","8588","286887936","231968768","75982016","38823561584"
"pool-overflow","candidate","1","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","6d3b840e7a86552046bbd5265c20fef8967ce3a2fd7d00ce05cfd6f47e403697","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","223","5007,541","44,532835577382194","15,979","59,3749","85,25508","15,3417183754","57,3709881827","83,9381885757","15,005","0,012","0,047","0,292","0,01","40","40","40","9","9","115","8","48","1","8","0","10412","286707712","231690240","86742208","38823561584"
"pool-overflow","candidate","2","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","6d3b840e7a86552046bbd5265c20fef8967ce3a2fd7d00ce05cfd6f47e403697","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","293","5005,444","58,536265713890714","14,325","33,1344","40,65236","13,5999475846","32,3341971273","38,2980386483","13,491","0,012","0,046","0,282","0,01","40","40","40","9","9","115","8","48","1","8","0","10412","286625792","231661568","86742208","38823561584"
"pool-overflow","candidate","3","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","6d3b840e7a86552046bbd5265c20fef8967ce3a2fd7d00ce05cfd6f47e403697","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","287","5060,45","56,71432382495628","15,168","32,731","56,2883","14,2203642362","32,4206658751","124,898817784","14,332","0,011","0,045","0,268","0,01","40","40","40","9","9","115","8","48","1","8","0","10412","286527488","231632896","86742208","38823561584"
"pool-resident","candidate","1","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","6d3b840e7a86552046bbd5265c20fef8967ce3a2fd7d00ce05cfd6f47e403697","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","564","5021,501","112,31701437478554","8,019","16,5761","28,71631","6,86124983249","15,0645855697","27,6012519303","7,57","0,01","0,041","0,148","0,008","40","40","40","9","9","11","1","0","9","1","0","8576","287625216","231976960","82693504","38823561584"
"pool-resident","candidate","2","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","6d3b840e7a86552046bbd5265c20fef8967ce3a2fd7d00ce05cfd6f47e403697","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","476","5012,585","94,96098320527233","8,9035","22,65925","39,40525","7,96046855565","21,2403380231","37,4311449195","8,449","0,01","0,041","0,15","0,009","40","40","40","9","9","11","1","0","9","1","0","8576","286720000","231768064","82693504","38823561584"
"pool-resident","candidate","3","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","6d3b840e7a86552046bbd5265c20fef8967ce3a2fd7d00ce05cfd6f47e403697","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","496","5004,129","99,11814823318903","8,4025","18,35375","33,9425","7,10197899328","16,1237365855","30,7699784154","7,935","0,011","0,041","0,1495","0,009","40","40","40","9","9","11","1","0","9","1","0","8576","286621696","231698432","82693504","38823561584"
